kernel,B,L,M,K,N
Q_proj,1,128,128,12288,12288
K_proj,1,128,128,12288,12288
V_proj,1,128,128,12288,12288
Q_K^T,1,128,12288,128,128
QK_V,1,128,12288,128,128
Out_proj,1,128,128,12288,12288
FFN_1,1,128,128,12288,49152
FFN_2,1,128,128,49152,12288
Q_proj,1,256,256,12288,12288
K_proj,1,256,256,12288,12288
V_proj,1,256,256,12288,12288
Q_K^T,1,256,24576,128,256
QK_V,1,256,24576,256,128
Out_proj,1,256,256,12288,12288
FFN_1,1,256,256,12288,49152
FFN_2,1,256,256,49152,12288
Q_proj,1,512,512,12288,12288
K_proj,1,512,512,12288,12288
V_proj,1,512,512,12288,12288
Q_K^T,1,512,49152,128,512
QK_V,1,512,49152,512,128
Out_proj,1,512,512,12288,12288
FFN_1,1,512,512,12288,49152
FFN_2,1,512,512,49152,12288
Q_proj,1,1024,1024,12288,12288
K_proj,1,1024,1024,12288,12288
V_proj,1,1024,1024,12288,12288
Q_K^T,1,1024,98304,128,1024
QK_V,1,1024,98304,1024,128
Out_proj,1,1024,1024,12288,12288
FFN_1,1,1024,1024,12288,49152
FFN_2,1,1024,1024,49152,12288
Q_proj,1,2048,2048,12288,12288
K_proj,1,2048,2048,12288,12288
V_proj,1,2048,2048,12288,12288
Q_K^T,1,2048,196608,128,2048
QK_V,1,2048,196608,2048,128
Out_proj,1,2048,2048,12288,12288
FFN_1,1,2048,2048,12288,49152
FFN_2,1,2048,2048,49152,12288
Q_proj,1,4096,4096,12288,12288
K_proj,1,4096,4096,12288,12288
V_proj,1,4096,4096,12288,12288
Q_K^T,1,4096,393216,128,4096
QK_V,1,4096,393216,4096,128
Out_proj,1,4096,4096,12288,12288
FFN_1,1,4096,4096,12288,49152
FFN_2,1,4096,4096,49152,12288
Q_proj,2,128,256,12288,12288
K_proj,2,128,256,12288,12288
V_proj,2,128,256,12288,12288
Q_K^T,2,128,24576,128,128
QK_V,2,128,24576,128,128
Out_proj,2,128,256,12288,12288
FFN_1,2,128,256,12288,49152
FFN_2,2,128,256,49152,12288
Q_proj,2,256,512,12288,12288
K_proj,2,256,512,12288,12288
V_proj,2,256,512,12288,12288
Q_K^T,2,256,49152,128,256
QK_V,2,256,49152,256,128
Out_proj,2,256,512,12288,12288
FFN_1,2,256,512,12288,49152
FFN_2,2,256,512,49152,12288
Q_proj,2,512,1024,12288,12288
K_proj,2,512,1024,12288,12288
V_proj,2,512,1024,12288,12288
Q_K^T,2,512,98304,128,512
QK_V,2,512,98304,512,128
Out_proj,2,512,1024,12288,12288
FFN_1,2,512,1024,12288,49152
FFN_2,2,512,1024,49152,12288
Q_proj,2,1024,2048,12288,12288
K_proj,2,1024,2048,12288,12288
V_proj,2,1024,2048,12288,12288
Q_K^T,2,1024,196608,128,1024
QK_V,2,1024,196608,1024,128
Out_proj,2,1024,2048,12288,12288
FFN_1,2,1024,2048,12288,49152
FFN_2,2,1024,2048,49152,12288
Q_proj,2,2048,4096,12288,12288
K_proj,2,2048,4096,12288,12288
V_proj,2,2048,4096,12288,12288
Q_K^T,2,2048,393216,128,2048
QK_V,2,2048,393216,2048,128
Out_proj,2,2048,4096,12288,12288
FFN_1,2,2048,4096,12288,49152
FFN_2,2,2048,4096,49152,12288
Q_proj,2,4096,8192,12288,12288
K_proj,2,4096,8192,12288,12288
V_proj,2,4096,8192,12288,12288
Q_K^T,2,4096,786432,128,4096
QK_V,2,4096,786432,4096,128
Out_proj,2,4096,8192,12288,12288
FFN_1,2,4096,8192,12288,49152
FFN_2,2,4096,8192,49152,12288
Q_proj,4,128,512,12288,12288
K_proj,4,128,512,12288,12288
V_proj,4,128,512,12288,12288
Q_K^T,4,128,49152,128,128
QK_V,4,128,49152,128,128
Out_proj,4,128,512,12288,12288
FFN_1,4,128,512,12288,49152
FFN_2,4,128,512,49152,12288
Q_proj,4,256,1024,12288,12288
K_proj,4,256,1024,12288,12288
V_proj,4,256,1024,12288,12288
Q_K^T,4,256,98304,128,256
QK_V,4,256,98304,256,128
Out_proj,4,256,1024,12288,12288
FFN_1,4,256,1024,12288,49152
FFN_2,4,256,1024,49152,12288
Q_proj,4,512,2048,12288,12288
K_proj,4,512,2048,12288,12288
V_proj,4,512,2048,12288,12288
Q_K^T,4,512,196608,128,512
QK_V,4,512,196608,512,128
Out_proj,4,512,2048,12288,12288
FFN_1,4,512,2048,12288,49152
FFN_2,4,512,2048,49152,12288
Q_proj,4,1024,4096,12288,12288
K_proj,4,1024,4096,12288,12288
V_proj,4,1024,4096,12288,12288
Q_K^T,4,1024,393216,128,1024
QK_V,4,1024,393216,1024,128
Out_proj,4,1024,4096,12288,12288
FFN_1,4,1024,4096,12288,49152
FFN_2,4,1024,4096,49152,12288
Q_proj,4,2048,8192,12288,12288
K_proj,4,2048,8192,12288,12288
V_proj,4,2048,8192,12288,12288
Q_K^T,4,2048,786432,128,2048
QK_V,4,2048,786432,2048,128
Out_proj,4,2048,8192,12288,12288
FFN_1,4,2048,8192,12288,49152
FFN_2,4,2048,8192,49152,12288
Q_proj,4,4096,16384,12288,12288
K_proj,4,4096,16384,12288,12288
V_proj,4,4096,16384,12288,12288
Q_K^T,4,4096,1572864,128,4096
QK_V,4,4096,1572864,4096,128
Out_proj,4,4096,16384,12288,12288
FFN_1,4,4096,16384,12288,49152
FFN_2,4,4096,16384,49152,12288
Q_proj,8,128,1024,12288,12288
K_proj,8,128,1024,12288,12288
V_proj,8,128,1024,12288,12288
Q_K^T,8,128,98304,128,128
QK_V,8,128,98304,128,128
Out_proj,8,128,1024,12288,12288
FFN_1,8,128,1024,12288,49152
FFN_2,8,128,1024,49152,12288
Q_proj,8,256,2048,12288,12288
K_proj,8,256,2048,12288,12288
V_proj,8,256,2048,12288,12288
Q_K^T,8,256,196608,128,256
QK_V,8,256,196608,256,128
Out_proj,8,256,2048,12288,12288
FFN_1,8,256,2048,12288,49152
FFN_2,8,256,2048,49152,12288
Q_proj,8,512,4096,12288,12288
K_proj,8,512,4096,12288,12288
V_proj,8,512,4096,12288,12288
Q_K^T,8,512,393216,128,512
QK_V,8,512,393216,512,128
Out_proj,8,512,4096,12288,12288
FFN_1,8,512,4096,12288,49152
FFN_2,8,512,4096,49152,12288
Q_proj,8,1024,8192,12288,12288
K_proj,8,1024,8192,12288,12288
V_proj,8,1024,8192,12288,12288
Q_K^T,8,1024,786432,128,1024
QK_V,8,1024,786432,1024,128
Out_proj,8,1024,8192,12288,12288
FFN_1,8,1024,8192,12288,49152
FFN_2,8,1024,8192,49152,12288
Q_proj,8,2048,16384,12288,12288
K_proj,8,2048,16384,12288,12288
V_proj,8,2048,16384,12288,12288
Q_K^T,8,2048,1572864,128,2048
QK_V,8,2048,1572864,2048,128
Out_proj,8,2048,16384,12288,12288
FFN_1,8,2048,16384,12288,49152
FFN_2,8,2048,16384,49152,12288
Q_proj,8,4096,32768,12288,12288
K_proj,8,4096,32768,12288,12288
V_proj,8,4096,32768,12288,12288
Q_K^T,8,4096,3145728,128,4096
QK_V,8,4096,3145728,4096,128
Out_proj,8,4096,32768,12288,12288
FFN_1,8,4096,32768,12288,49152
FFN_2,8,4096,32768,49152,12288
Q_proj,16,128,2048,12288,12288
K_proj,16,128,2048,12288,12288
V_proj,16,128,2048,12288,12288
Q_K^T,16,128,196608,128,128
QK_V,16,128,196608,128,128
Out_proj,16,128,2048,12288,12288
FFN_1,16,128,2048,12288,49152
FFN_2,16,128,2048,49152,12288
Q_proj,16,256,4096,12288,12288
K_proj,16,256,4096,12288,12288
V_proj,16,256,4096,12288,12288
Q_K^T,16,256,393216,128,256
QK_V,16,256,393216,256,128
Out_proj,16,256,4096,12288,12288
FFN_1,16,256,4096,12288,49152
FFN_2,16,256,4096,49152,12288
Q_proj,16,512,8192,12288,12288
K_proj,16,512,8192,12288,12288
V_proj,16,512,8192,12288,12288
Q_K^T,16,512,786432,128,512
QK_V,16,512,786432,512,128
Out_proj,16,512,8192,12288,12288
FFN_1,16,512,8192,12288,49152
FFN_2,16,512,8192,49152,12288
Q_proj,16,1024,16384,12288,12288
K_proj,16,1024,16384,12288,12288
V_proj,16,1024,16384,12288,12288
Q_K^T,16,1024,1572864,128,1024
QK_V,16,1024,1572864,1024,128
Out_proj,16,1024,16384,12288,12288
FFN_1,16,1024,16384,12288,49152
FFN_2,16,1024,16384,49152,12288
Q_proj,16,2048,32768,12288,12288
K_proj,16,2048,32768,12288,12288
V_proj,16,2048,32768,12288,12288
Q_K^T,16,2048,3145728,128,2048
QK_V,16,2048,3145728,2048,128
Out_proj,16,2048,32768,12288,12288
FFN_1,16,2048,32768,12288,49152
FFN_2,16,2048,32768,49152,12288
Q_proj,16,4096,65536,12288,12288
K_proj,16,4096,65536,12288,12288
V_proj,16,4096,65536,12288,12288
Q_K^T,16,4096,6291456,128,4096
QK_V,16,4096,6291456,4096,128
Out_proj,16,4096,65536,12288,12288
FFN_1,16,4096,65536,12288,49152
FFN_2,16,4096,65536,49152,12288
